name,country,time,lat,lon,complete,danger
Lviv,Ukraine,,49.8397,24.0297,false,true
Odesa,Ukraine,,46.4825,30.7233,"false ",true
Kyiv,Ukraine,,50.4501,30.5234,false,true
Moscow,Russia,,55.7558,37.6173,false,true
St. Peterburg,Russia,,59.9343," 30.3351",false,true
Sydney,Australia,,-33.8688,151.2093,false,
Melbourne,Australia,,-37.8136,144.9631,false,
Gold Coast,Australia,,-28.0167,153.4000,false,
Gold Coast,United Arab Emirates,,25.2048,55.2708,false,
Cape Town,South Africa,,-33.9249,18.4241,false,
Johannesburg,South Africa,,-26.2041,28.0473,false,
Cairo,Egypt,,30.0444,31.2357,false,
Luxor,Egypt,,25.6872,32.6396,false,
Aswan,Egypt,,24.0889,32.8998,false,
Jerusalem,Israel,,31.0461,34.8516,false,
Istanbul,Turkey,,41.0082,28.9784,false,
Bodrum,Turkey,,37.0344,27.4305,false,
Cappadocia,Turkey,,38.6587," 34.8532",false,
Pamukkale,Turkey,,37.9137,29.1187,false,
Athens,Greece,,37.9838,23.7275,false,
Rhodes,Greece,,36.4341,28.2176,false,
Thessaloniki,Greece,,40.6401,22.9444,false,
Bangkok,Thailand,,13.7563,100.5018,false,
Pattaya,Thailand,,12.923,100.8825,false,
Jakarta,Indonesia,,-6.2088,106.8456,false,
Bali,Indonesia,,-8.4095,115.1889,false,
Hanoi,Vietnam,,21.0278,105.8342,false,
Ho Chi Minh City,Vietnam,,10.8231,106.6297,false,
Malacca,Malaysia,,2.1896,102.2501,false,
Kuala Lumpur,Malaysia,,0.9619,114.5548,false,
Borneo,Malaysia,,3.1319,101.6841,false,
Calgary,Canada,,51.0447,-114.0719,false,
Halifax,Canada,,44.8857,-63.1005,false,
Anchorage,USA,,61.2176,-149.8997,false,
Boston,USA,,42.3601,-71.0589,false,
New York,USA,,40.7128,-74.0060,false,
Charleston,USA,,32.7765,-79.9311,false,
Dallas,USA,,32.7767,-96.7970,false,
Atlanta,USA,,33.7488,-84.3877,false,
Miami,USA,,25.7617,-80.1918,false,
Orlando,USA,,28.5384,-81.3789,false,
New Orleans,USA,,29.9511,-90.0715,false,
Cuba,Cuba,,21.5218,-77.7812,false,
Barcelona,Spain,,41.3874,-2.1686,false,
Granada,Spain,,37.1775,-3.5984,false,
Madrid,Spain,,40.4168,-3.7038,false,
Valencia,Spain,,39.4699,-0.3763,false,
Ibiza,Spain,,39.0200,1.4821,false,
Dublin,Ireland,,53.3498,-6.2603,false,
Edinburgh,UK,,55.9533,-3.1883,false,
Glasgow,UK,,55.8642,-4.2518,false,
Manchester,UK,,53.4808,-2.2426,false,
Bristol,UK,,51.4545,-2.5879,false,
London,UK,,51.5072,-0.1276,false,
Nice,France,,43.7102,7.2620,false,
Lyon,France,,45.7640,4.8357,false,
Bordeau,France,,44.8378,-0.5792,false,
Paris,France,,48.8566,2.3522,false,
Bern,Switzerland,,46.9480,7.4474,false,
Hamburg,Germany,,53.5488," 9.9872",false,
Berlin,Germany,,52.5200,13.4050,false,
Munich + Dachau,Germany,,48.1351,11.5820,false,
Helsinki,Finland,,60.1699,24.9384,false,
Stockholm,Sweden,,59.3293,18.0686,false,
Gothenburg,Sweden,,57.7089,11.9746,false,
Jurmala,Latvia,,56.9684,23.7738,false,
Riga,Latvia,,56.9677,24.1056,false,
Milan,Italy,,45.4642,9.1900,false,
Venice,Italy,,45.4408,12.3155,false,
Rome,Italy,,41.9028,12.4964,false,
Florence,Italy,,43.7696,11.2558,false,
Vienna,Austria,,48.2082,16.3738,false,
Budapest,Hungary,,47.4979,19.0402,false,
Taipei,China (Taiwan),,25.0330,121.5654,false,
Singapore,Singapore,,1.3521,103.8198,false,
Seoul,Korea,,37.5519,126.9918,false,
Busan,Korea,,35.2100,129.0689,false,
Asahikawa,Japan,,43.7709,142.3650,false,
Sapporo,Japan,,43.0618,141.3545,false,
Niseko,Japan,,42.8048,140.6874,false,
"Otaru ",Japan,,43.1902,140.9942,false,
Okinawa,Japan,,26.3344,127.8056,false,
Matsuma,Japan,Planned 2024,33.8394,132.7653,false,
Nagasaki and Hiroshima,Japan,Planned 2024,32.7503,129.8779,false,
Osaka,Japan,Planned 2024,34.6937,135.5023,false,
Kyoto,Japan,Planned 2024,35.0116,135.7681,false,
Tokyo,Japan,Planned 2023,35.6762,139.6503,false,
Honolulu,USA,2022,21.3099,-157.8581,true,
Toronto,Canada,2018,43.651070,-79.347015,true,
"Montreal ",Canada,2018,45.5019,-73.5674,true,
Harbin,China,2018,45.7567," 126.6424",true,
Xiamen,China,2018,24.4795,118.0895,true,
Seattle,USA,2017,47.6062,-122.3321,true,
Portland,USA,2017,45.5152,-122.6784,true,
San Fran,USA,2017,37.7749,-122.4194,true,
LA,USA,2017,34.0522,-118.2437,true,
Ottawa,Canada,2016,45.4215,-75.6972,true,
Changsha,China,"2008, 2018",28.2278,112.9389,true,
Zhangjiajie,China,"2008, 2018",29.1167," 110.4784",true,
Spokane,USA,2015,47.6588,-117.4260,true,
Kelowna + Penticton + Osoyoos,Canada,2014,49.8880,-119.4960,true,
Victoria,Canada,2011,48.4284,-123.3656,true,
Tofino,Canada,2011,49.1530,-125.9066,true,
HongKong,China,2008,22.3193,114.1694,true,
ShangHai,China,2008,31.2304," 121.4737",true,
Edmonton,Canada,2007,53.5461,-113.4937,true,
Banff,Canada,2007,51.1784,-115.5708,true,
Beijing,China,2008,39.9042,116.4074,true,
